1.1632e-015,-20.96,5.424e-016
0.42574,-13.452,0.19852
0.9009,-14.215,0.4201
1.4542,-15.266,0.6781
1.9891,-15.617,0.92755
2.4567,-15.373,1.1456
2.9622,-15.376,1.3813
3.5059,-15.515,1.6348
4.037,-15.534,1.8825
4.5903,-15.588,2.1405
5.0092,-15.185,2.3358
4.5426,-12.406,2.1183
4.5599,-11.301,2.1263
5.1371,-11.621,2.3955
5.693,-11.814,2.6547
6.3396,-12.116,2.9562
6.9975,-12.356,3.263
8.048,-13.165,3.7528
9.9777,-15.153,4.6527
7.8563,-11.095,3.6635
8.0802,-10.625,3.7678
7.5865,-9.2967,3.5377
8.1404,-9.3011,3.7959
8.3384,-8.8847,3.8882
8.3988,-8.3441,3.9164
8.5187,-7.887,3.9723
8.6273,-7.4372,4.023
8.8793,-7.1181,4.1405
11.346,-8.4438,5.2905
17.816,-12.284,8.3077
18.963,-12.08,8.8425
19.133,-11.225,8.922
19.371,-10.424,9.0328
19.49,-9.5746,9.0883
19.478,-8.6834,9.083
19.741,-7.928,9.2055
19.394,-6.9529,9.0435
19.314,-6.1109,9.0065
20.595,-5.6658,9.6037
18.75,-4.3973,8.7431
17.735,-3.4504,8.2698
19.431,-3.0131,9.0606
19.334,-2.2421,9.0155
19.664,-1.5172,9.1696
17.916,-0.69031,8.3543
20.392,0,9.5089
20.18,0.77756,9.4102
19.953,1.5395,9.3045
20.686,2.3989,9.646
19.251,2.9853,8.9769
18.797,3.657,8.7651
19.104,4.4805,8.9084
19.311,5.3126,9.005
17.772,5.623,8.2874
18.489,6.6284,8.6215
20.15,8.0922,9.3961
19.579,8.7283,9.13
19.689,9.6722,9.181
19.68,10.591,9.1771
18.277,10.723,8.5227
17.322,11.035,8.0776
17.04,11.748,7.9457
16.988,12.643,7.9218
16.578,13.29,7.7305
16.476,14.203,7.6829
16.343,15.131,7.6209
16.36,16.253,7.6287
14.049,14.97,6.5513
12.957,14.804,6.0418
11.995,14.699,5.5935
9.4841,12.471,4.4225
9.5582,13.499,4.4571
11.48,17.434,5.3532
9.8978,16.191,4.6154
8.9955,15.884,4.1947
8.2882,15.84,3.8648
7.3992,15.354,3.4503
7.1236,16.115,3.3218
6.5579,16.252,3.058
5.9482,16.244,2.7737
5.3502,16.219,2.4948
4.5903,15.588,2.1405
4.2143,16.216,1.9652
3.7559,16.621,1.7514
3.1788,16.501,1.4823
2.6172,16.377,1.2204
2.1127,16.587,0.98519
1.5925,16.718,0.74259
1.0665,16.829,0.49733
0.5279,16.68,0.24616
8.9845e-016,-15.94,3.8137e-016
0.72635,-22.596,0.30832
1.3838,-21.498,0.58737
0.98143,-10.144,0.41659
1.9216,-14.854,0.81569
2.4872,-15.324,1.0557
3.0296,-15.484,1.286
3.5497,-15.467,1.5068
4.1002,-15.534,1.7404
4.6622,-15.588,1.979
4.7382,-14.142,2.0113
3.8034,-10.227,1.6145
3.8863,-9.4826,1.6496
4.1361,-9.2126,1.7557
4.5203,-9.2356,1.9188
4.9339,-9.2838,2.0943
5.395,-9.3794,2.29
5.9349,-9.5588,2.5192
5.9571,-8.9073,2.5286
6.1376,-8.5342,2.6052
6.0056,-7.7754,2.5492
6.7322,-8.1226,2.8577
7.4303,-8.3587,3.154
7.4294,-7.7941,3.1536
8.1541,-7.976,3.4612
8.4054,-7.662,3.5679
8.6246,-7.3202,3.6609
8.5045,-6.7125,3.61
12.927,-9.4727,5.4874
17.916,-12.162,7.6047
18.574,-11.65,7.8843
18.653,-10.774,7.9176
18.988,-10.061,8.0597
19.4,-9.3834,8.2349
19.297,-8.4699,8.1911
19.653,-7.7707,8.342
19.601,-6.9189,8.3203
19.529,-6.0833,8.2894
19.426,-5.2618,8.246
19.313,-4.4597,8.198
19.817,-3.7959,8.4116
19.826,-3.027,8.4157
19.911,-2.2735,8.4518
19.972,-1.5172,8.4777
19.917,-0.75557,8.4542
19.745,0,8.3812
19.107,0.72486,8.1105
20.266,1.5395,8.6024
20.699,2.3634,8.786
19.37,2.9574,8.2222
18.575,3.5581,7.8845
17.441,4.0272,7.4031
19.426,5.2618,8.246
18.98,5.9124,8.0565
18.954,6.6902,8.0453
20.154,7.9691,8.555
19.69,8.6422,8.3578
19.694,9.5258,8.3598
20.096,10.648,8.5303
18.287,10.563,7.7624
17.02,10.675,7.2245
17.307,11.748,7.3462
16.919,12.397,7.1815
17.18,13.56,7.2926
16.567,14.062,7.0324
15.866,14.463,6.7346
16.972,16.601,7.2041
14.971,15.706,6.355
13.588,15.286,5.7678
12.085,14.581,5.1297
11.704,15.152,4.9679
11.023,15.327,4.6789
10.989,16.431,4.6645
9.9293,15.992,4.2148
8.8486,15.384,3.756
8.4825,15.961,3.6006
7.8695,16.078,3.3404
7.2352,16.115,3.0711
6.3424,15.475,2.6922
6.0655,16.309,2.5747
5.371,16.031,2.2799
4.7646,15.93,2.0224
4.1738,15.813,1.7717
3.5252,15.36,1.4964
3.2784,16.756,1.3916
2.7173,16.742,1.1534
2.1535,16.646,0.91412
1.6174,16.718,0.68656
1.0832,16.829,0.45981
0.5381,16.74,0.22841
9.5409e-016,-16.69,3.6624e-016
0.70539,-21.637,0.27077
1.3715,-21.009,0.52647
0.86168,-8.7816,0.33077
2.0282,-15.458,0.77855
2.5306,-15.373,0.97141
3.0823,-15.533,1.1832
3.6001,-15.467,1.382
4.1739,-15.592,1.6022
4.6793,-15.426,1.7962
4.1062,-12.084,1.5762
3.4448,-9.1328,1.3223
3.5846,-8.6239,1.376
3.7406,-8.215,1.4359
4.0235,-8.1055,1.5445
4.2665,-7.9155,1.6377
4.5218,-7.7512,1.7357
4.7454,-7.536,1.8216
