Pos,Raw,Dist
159.00,298,15.40
159.50,298,15.40
160.00,297,15.45
160.50,299,15.35
161.00,303,15.15
161.50,294,15.61
162.00,295,15.56
162.50,298,15.40
163.00,303,15.15
163.50,299,15.35
164.00,298,15.40
164.50,297,15.45
165.00,299,15.35
165.50,299,15.35
166.00,299,15.35
166.50,298,15.40
167.00,304,15.10
167.50,299,15.35
168.00,296,15.51
168.50,300,15.30
169.00,305,15.05
169.50,312,14.71
170.00,298,15.40
170.50,303,15.15
171.00,300,15.30
171.50,299,15.35
172.00,298,15.40
172.50,299,15.35
173.00,298,15.40
173.50,299,15.35
174.00,303,15.15
174.50,304,15.10
175.00,299,15.35
175.50,297,15.45
176.00,299,15.35
176.50,303,15.15
177.00,301,15.25
177.50,298,15.40
178.00,300,15.30
178.50,299,15.35
179.00,310,14.81
179.50,302,15.20
