Pos,Raw,Dist
0.00,410,11.20
0.50,258,17.79
1.00,263,17.45
1.50,256,17.93
2.00,258,17.79
2.50,257,17.86
3.00,254,18.07
3.50,256,17.93
4.00,256,17.93
4.50,258,17.79
5.00,252,18.21
5.50,252,18.21
6.00,255,18.00
6.50,252,18.21
7.00,256,17.93
7.50,260,17.65
8.00,319,14.39
8.50,339,13.54
9.00,402,11.42
9.50,418,10.98
10.00,435,10.55
10.50,441,10.41
11.00,449,10.22
11.50,450,10.20
12.00,458,10.02
12.50,461,9.96
13.00,465,9.87
13.50,471,9.75
14.00,467,9.83
14.50,469,9.79
15.00,471,9.75
15.50,472,9.72
16.00,487,9.43
16.50,488,9.41
17.00,494,9.29
17.50,493,9.31
18.00,500,9.18
18.50,500,9.18
19.00,500,9.18
19.50,508,9.04
20.00,508,9.04
20.50,511,8.98
21.00,516,8.90
21.50,518,8.86
22.00,525,8.74
22.50,523,8.78
23.00,531,8.64
23.50,530,8.66
24.00,533,8.61
24.50,531,8.64
25.00,531,8.64
25.50,536,8.56
26.00,533,8.61
26.50,544,8.44
27.00,544,8.44
27.50,540,8.50
28.00,545,8.42
28.50,545,8.42
29.00,552,8.32
29.50,550,8.35
30.00,548,8.38
30.50,552,8.32
31.00,547,8.39
31.50,555,8.27
32.00,577,7.95
32.50,555,8.27
33.00,554,8.29
33.50,553,8.30
34.00,559,8.21
34.50,559,8.21
35.00,563,8.15
35.50,558,8.23
36.00,558,8.23
36.50,561,8.18
37.00,560,8.20
37.50,563,8.15
38.00,565,8.12
38.50,566,8.11
39.00,572,8.02
39.50,569,8.07
40.00,571,8.04
40.50,564,8.14
41.00,565,8.12
41.50,568,8.08
42.00,567,8.10
42.50,568,8.08
43.00,569,8.07
43.50,570,8.05
44.00,565,8.12
44.50,563,8.15
45.00,565,8.12
45.50,550,8.35
46.00,549,8.36
46.50,540,8.50
47.00,535,8.58
47.50,535,8.58
48.00,523,8.78
48.50,517,8.88
49.00,500,9.18
49.50,493,9.31
50.00,480,9.56
50.50,481,9.54
51.00,478,9.60
51.50,470,9.77
52.00,461,9.96
52.50,460,9.98
53.00,446,10.29
53.50,447,10.27
54.00,431,10.65
54.50,434,10.58
55.00,401,11.45
55.50,371,12.37
56.00,325,14.12
56.50,291,15.77
57.00,252,18.21
57.50,254,18.07
58.00,225,20.40
58.50,221,20.77
59.00,217,21.15
59.50,219,20.96
60.00,218,21.06
60.50,219,20.96
61.00,219,20.96
61.50,217,21.15
62.00,223,20.58
62.50,222,20.68
63.00,221,20.77
63.50,225,20.40
64.00,222,20.68
64.50,222,20.68
65.00,226,20.31
65.50,227,20.22
66.00,227,20.22
66.50,231,19.87
67.00,228,20.13
67.50,227,20.22
68.00,230,19.96
68.50,229,20.04
69.00,231,19.87
69.50,229,20.04
70.00,229,20.04
70.50,231,19.87
71.00,230,19.96
71.50,229,20.04
72.00,233,19.70
72.50,229,20.04
73.00,231,19.87
73.50,232,19.78
74.00,232,19.78
74.50,234,19.62
75.00,234,19.62
75.50,235,19.53
76.00,233,19.70
76.50,235,19.53
77.00,233,19.70
77.50,232,19.78
78.00,235,19.53
78.50,234,19.62
79.00,234,19.62
79.50,237,19.37
80.00,233,19.70
