Pos,Raw,Dist
159.00,357,12.86
159.50,355,12.93
160.00,354,12.97
160.50,345,13.30
161.00,319,14.39
161.50,316,14.53
162.00,306,15.00
162.50,308,14.90
163.00,307,14.95
163.50,305,15.05
164.00,303,15.15
164.50,303,15.15
165.00,316,14.53
165.50,308,14.90
166.00,316,14.53
166.50,318,14.43
167.00,329,13.95
167.50,331,13.87
168.00,350,13.11
168.50,355,12.93
169.00,358,12.82
169.50,353,13.00
170.00,347,13.23
170.50,342,13.42
171.00,323,14.21
171.50,313,14.66
172.00,304,15.10
172.50,302,15.20
173.00,299,15.35
173.50,296,15.51
174.00,297,15.45
174.50,297,15.45
175.00,298,15.40
175.50,299,15.35
176.00,331,13.87
176.50,315,14.57
177.00,303,15.15
177.50,302,15.20
178.00,304,15.10
178.50,305,15.05
179.00,323,14.21
179.50,338,13.58