Tilt,Pan,Raw,Dist
65.00,0.00,354,12.97
65.00,2.00,266,17.26
65.00,4.00,280,16.39
65.00,6.00,263,17.45
65.00,8.00,261,17.59
65.00,10.00,259,17.72
65.00,12.00,261,17.59
65.00,14.00,395,11.62
65.00,16.00,447,10.27
65.00,18.00,464,9.89
65.00,20.00,478,9.60
65.00,22.00,495,9.27
65.00,24.00,497,9.24
65.00,26.00,508,9.04
65.00,28.00,517,8.88
65.00,30.00,524,8.76
65.00,32.00,529,8.68
65.00,34.00,537,8.55
65.00,36.00,540,8.50
65.00,38.00,548,8.38
65.00,40.00,544,8.44
65.00,42.00,570,8.05
65.00,44.00,553,8.30
65.00,46.00,554,8.29
65.00,48.00,548,8.38
65.00,50.00,543,8.45
65.00,52.00,525,8.74
65.00,54.00,454,10.11
65.00,56.00,237,19.37
65.00,58.00,192,23.91
65.00,60.00,199,23.07
65.00,62.00,202,22.72
65.00,64.00,206,22.28
65.00,66.00,209,21.96
65.00,68.00,209,21.96
65.00,70.00,215,21.35
65.00,72.00,216,21.25
65.00,74.00,213,21.55
65.00,76.00,219,20.96
65.00,78.00,221,20.77
65.00,80.00,216,21.25
65.00,82.00,220,20.86
65.00,84.00,219,20.96
65.00,86.00,218,21.06
65.00,88.00,214,21.45
65.00,90.00,214,21.45
65.00,92.00,229,20.04
65.00,94.00,242,18.97
65.00,96.00,241,19.05
65.00,98.00,227,20.22
65.00,100.00,232,19.78
65.00,102.00,226,20.31
65.00,104.00,211,21.75
65.00,106.00,202,22.72
65.00,108.00,218,21.06
65.00,110.00,198,23.18
65.00,112.00,202,22.72
65.00,114.00,220,20.86
65.00,116.00,221,20.77
65.00,118.00,216,21.25
65.00,120.00,213,21.55
65.00,122.00,215,21.35
65.00,124.00,207,22.17
65.00,126.00,232,19.78
65.00,128.00,212,21.65
65.00,130.00,218,21.06
65.00,132.00,231,19.87
65.00,134.00,236,19.45
65.00,136.00,236,19.45
65.00,138.00,248,18.51
65.00,140.00,254,18.07
65.00,142.00,261,17.59
65.00,144.00,267,17.19
65.00,146.00,267,17.19
65.00,148.00,274,16.75
65.00,150.00,277,16.57
65.00,152.00,283,16.22
65.00,154.00,315,14.57
65.00,156.00,301,15.25
65.00,158.00,307,14.95
65.00,160.00,308,14.90
65.00,162.00,312,14.71
65.00,164.00,297,15.45
65.00,166.00,297,15.45
65.00,168.00,299,15.35
65.00,170.00,300,15.30
65.00,172.00,314,14.62
65.00,174.00,299,15.35
65.00,176.00,301,15.25
65.00,178.00,299,15.35
67.00,0.00,349,13.15
67.00,2.00,215,21.35
67.00,4.00,226,20.31
67.00,6.00,545,8.42
67.00,8.00,263,17.45
67.00,10.00,256,17.93
67.00,12.00,297,15.45
67.00,14.00,405,11.33
67.00,16.00,453,10.13
67.00,18.00,469,9.79
67.00,20.00,477,9.62
67.00,22.00,487,9.43
67.00,24.00,501,9.16
67.00,26.00,513,8.95
67.00,28.00,516,8.90
67.00,30.00,528,8.69
67.00,32.00,536,8.56
67.00,34.00,541,8.48
67.00,36.00,556,8.26
67.00,38.00,549,8.36
67.00,40.00,549,8.36
67.00,42.00,554,8.29
67.00,44.00,558,8.23
67.00,46.00,561,8.18
67.00,48.00,562,8.17
67.00,50.00,552,8.32
67.00,52.00,549,8.36
67.00,54.00,508,9.04
67.00,56.00,409,11.22
67.00,58.00,186,24.68
67.00,60.00,198,23.18
67.00,62.00,207,22.17
67.00,64.00,205,22.39
67.00,66.00,212,21.65
67.00,68.00,214,21.45
67.00,70.00,214,21.45
67.00,72.00,220,20.86
67.00,74.00,219,20.96
67.00,76.00,218,21.06
67.00,78.00,223,20.58
67.00,80.00,220,20.86
67.00,82.00,220,20.86
67.00,84.00,224,20.49
67.00,86.00,218,21.06
67.00,88.00,219,20.96
67.00,90.00,220,20.86
67.00,92.00,230,19.96
67.00,94.00,248,18.51
67.00,96.00,252,18.21
67.00,98.00,237,19.37
67.00,100.00,239,19.21
67.00,102.00,239,19.21
67.00,104.00,215,21.35
67.00,106.00,207,22.17
67.00,108.00,213,21.55
67.00,110.00,200,22.95
67.00,112.00,202,22.72
